image,mask_index,pixels_per_cm,volume_value,volume_unit,density_label,density_g_per_cm3,weight_g
image1.jpeg,0,,0.0,arb,default,0.85,
image1.jpeg,1,,0.0,arb,default,0.85,
image1.jpeg,2,,931744.0625,arb,default,0.85,
image2.jpeg,0,,1271379.25,arb,default,0.85,
image2.jpeg,1,,2963210.0,arb,default,0.85,
image2.jpeg,2,,11726.5087890625,arb,default,0.85,
image2.jpeg,3,,2674942.75,arb,default,0.85,
image2.jpeg,4,,352961.40625,arb,default,0.85,
images.jpeg,0,,0.0,arb,default,0.85,
images.jpeg,1,,0.0,arb,default,0.85,
images.jpeg,2,,0.0,arb,default,0.85,
images.jpeg,3,,0.0,arb,default,0.85,
images.jpeg,4,,0.0,arb,default,0.85,
images.jpeg,5,,598135.0,arb,default,0.85,
images.jpeg,6,,0.0,arb,default,0.85,
